Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,avg_aqi
04/04/2018,AQS,370030005,1,0.047,ppm,44,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,1456
04/05/2018,AQS,370030005,1,0.052,ppm,48,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,1504
04/06/2018,AQS,370030005,1,0.056,ppm,54,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,1558
04/07/2018,AQS,370030005,1,0.043,ppm,40,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,1598
04/08/2018,AQS,370030005,1,0.047,ppm,44,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,1642
04/09/2018,AQS,370030005,1,0.036,ppm,33,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,1675
04/10/2018,AQS,370030005,1,0.046,ppm,43,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,1718
04/11/2018,AQS,370030005,1,0.048,ppm,44,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,1762
04/12/2018,AQS,370030005,1,0.057,ppm,58,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,1820
04/13/2018,AQS,370030005,1,0.063,ppm,77,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,1897
04/14/2018,AQS,370030005,1,0.047,ppm,44,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,1941
04/15/2018,AQS,370030005,1,0.036,ppm,33,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,1974
04/16/2018,AQS,370030005,1,0.036,ppm,33,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2007
04/17/2018,AQS,370030005,1,0.058,ppm,61,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2068
